 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"220985 SAO JOAO DA CANABRAVA";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"220987 SAO JOAO DA FRONTEIRA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"220990 SAO JOAO DA SERRA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"220995 SAO JOAO DA VARJOTA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"220997 SAO JOAO DO ARRAIAL";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"221000 SAO JOAO DO PIAUI";-;-;-;-;15;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"221005 SAO JOSE DO DIVINO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221010 SAO JOSE DO PEIXE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221020 SAO JOSE DO PIAUI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"221030 SAO JULIAO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"221035 SAO LOURENCO DO PIAUI";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"221037 SAO LUIS DO PIAUI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221038 SAO MIGUEL DA BAIXA GRANDE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221039 SAO MIGUEL DO FIDALGO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"221040 SAO MIGUEL DO TAPUIO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"221050 SAO PEDRO DO PIAUI";-;-;-;-;7;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"221060 SAO RAIMUNDO NONATO";-;-;-;-;16;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;20
"221062 SEBASTIAO BARROS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"221063 SEBASTIAO LEAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"221065 SIGEFREDO PACHECO";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"221070 SIMOES";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"221080 SIMPLICIO MENDES";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;13
"221090 SOCORRO DO PIAUI";-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"221093 SUSSUAPARA";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"221095 TAMBORIL DO PIAUI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"221097 TANQUE DO PIAUI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"221100 TERESINA";-;-;-;2;389;49;12;6;1;-;-;9;2;-;7;14;7;4;1;16;1;-;32;2;-;-;-;554
"221110 UNIAO";-;-;-;-;19;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;1;-;-;-;25
"221120 URUCUI";-;-;-;-;15;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"221130 VALENCA DO PIAUI";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"221135 VARZEA BRANCA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"221140 VARZEA GRANDE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221150 VERA MENDES";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"221160 VILA NOVA DO PIAUI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221170 WALL FERRAZ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"230010 ABAIARA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"230015 ACARAPE";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"230020 ACARAU";-;-;-;-;32;1;1;1;-;-;-;-;-;-;1;-;-;1;-;2;-;-;3;-;-;-;-;42
"230030 ACOPIARA";-;-;-;-;22;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;26
"230040 AIUABA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;7
"230050 ALCANTARAS";-;-;-;1;6;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"230060 ALTANEIRA";-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;8
"230070 ALTO SANTO";-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"230075 AMONTADA";-;-;-;-;13;2;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"230080 ANTONINA DO NORTE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230090 APUIARES";-;-;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"230100 AQUIRAZ";-;-;-;-;38;3;-;-;-;-;-;-;-;-;-;2;1;1;-;1;-;-;-;-;-;-;-;46
"230110 ARACATI";-;-;-;-;38;3;2;2;-;-;-;1;1;-;2;2;1;-;-;-;-;-;3;-;-;-;-;55
"230120 ARACOIABA";-;-;-;-;11;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"230125 ARARENDA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"230130 ARARIPE";-;-;-;-;9;2;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"230140 ARATUBA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"230150 ARNEIROZ";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230160 ASSARE";-;-;-;2;12;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;16
"230170 AURORA";-;-;-;-;6;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;10
"230180 BAIXIO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"230185 BANABUIU";-;-;-;-;7;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"230190 BARBALHA";-;-;-;-;36;11;7;1;-;-;-;-;-;-;2;2;1;1;-;1;-;-;4;-;-;-;-;66
"230195 BARREIRA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"230200 BARRO";-;-;-;2;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"230205 BARROQUINHA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;11
"230210 BATURITE";-;-;-;3;13;1;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;23
"230220 BEBERIBE";-;-;-;-;29;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3;-;-;-;-;35
"230230 BELA CRUZ";-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"230240 BOA VIAGEM";-;-;-;-;18;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;23
"230250 BREJO SANTO";-;-;-;1;29;7;2;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;44
"230260 CAMOCIM";-;-;-;-;18;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;23
"230270 CAMPOS SALES";-;-;-;-;21;4;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;-;-;-;30
"230280 CANINDE";-;-;-;-;29;4;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;37
"230290 CAPISTRANO";-;-;-;-;6;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"230300 CARIDADE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"230310 CARIRE";-;-;-;-;10;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"230320 CARIRIACU";-;-;-;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"230330 CARIUS";-;-;-;-;17;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"230340 CARNAUBAL";-;-;-;1;8;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;14
"230350 CASCAVEL";-;-;-;-;23;1;-;1;-;-;-;-;-;-;2;1;-;1;-;-;-;-;1;-;-;-;-;30
"230360 CATARINA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"230365 CATUNDA";-;-;-;2;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"230370 CAUCAIA";-;-;-;1;113;18;7;2;-;-;-;1;-;-;1;4;2;2;-;4;1;-;6;-;-;-;-;162
"230380 CEDRO";-;-;-;-;21;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"230390 CHAVAL";-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"230393 CHORO";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230395 CHOROZINHO";-;-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"230400 COREAU";-;-;-;-;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;14
"230410 CRATEUS";-;-;-;-;52;4;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;59
"230420 CRATO";-;-;-;2;72;11;4;3;-;-;-;-;1;-;1;2;3;-;-;1;-;-;2;1;-;-;-;103
"230423 CROATA";-;-;-;-;6;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"230425 CRUZ";-;-;-;-;19;3;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;24
"230426 DEPUTADO IRAPUAN PINHEIRO";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"230427 ERERE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230428 EUSEBIO";-;-;-;-;20;3;3;1;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;31
"230430 FARIAS BRITO";-;-;-;1;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"230435 FORQUILHA";-;-;-;-;14;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;18
"230440 FORTALEZA";-;-;-;14;1013;139;38;43;1;1;1;14;13;-;56;32;16;3;-;22;18;-;48;8;-;3;3;1486
"230445 FORTIM";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"230450 FRECHEIRINHA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;5
"230460 GENERAL SAMPAIO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;3
"230465 GRACA";-;-;-;-;8;1;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;-;-;14
"230470 GRANJA";-;-;-;-;9;2;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;17
"230480 GRANJEIRO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"230490 GROAIRAS";-;-;-;1;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"230495 GUAIUBA";-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"230500 GUARACIABA DO NORTE";-;-;-;-;20;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;23
"230520 HIDROLANDIA";-;-;-;-;10;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"230523 HORIZONTE";-;-;-;-;19;-;-;-;-;-;-;1;1;-;2;-;1;-;-;-;-;-;-;-;-;1;-;25
"230526 IBARETAMA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"230530 IBIAPINA";-;-;-;2;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;15
"230533 IBICUITINGA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"230535 ICAPUI";-;-;-;-;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"230540 ICO";-;-;-;1;38;-;3;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;46
"230550 IGUATU";-;-;-;-;64;5;6;1;-;-;-;-;-;-;-;2;-;1;1;1;-;-;3;1;-;-;-;85
"230560 INDEPENDENCIA";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;15
"230565 IPAPORANGA";-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;9
"230570 IPAUMIRIM";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230580 IPU";-;-;-;-;17;-;-;1;-;-;-;2;-;-;1;1;-;1;-;1;1;-;1;-;-;-;-;26
"230590 IPUEIRAS";-;-;-;4;17;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;24
"230600 IRACEMA";-;-;-;2;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"230610 IRAUCUBA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;10
"230620 ITAICABA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230625 ITAITINGA";-;-;-;-;19;4;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;26
"230630 ITAPAGE";-;-;-;-;13;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;16
"230640 ITAPIPOCA";-;-;-;1;45;3;2;1;1;-;-;-;-;-;2;5;2;1;1;1;-;-;4;-;-;-;-;69
"230650 ITAPIUNA";-;-;-;-;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230655 ITAREMA";-;-;-;-;23;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;28
"230660 ITATIRA";-;-;-;-;8;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;12
"230670 JAGUARETAMA";-;-;-;-;6;2;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;11
"230680 JAGUARIBARA";-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"230690 JAGUARIBE";-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;3;-;-;-;-;12
"230700 JAGUARUANA";-;-;-;1;12;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"230710 JARDIM";-;-;-;-;11;3;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;20
"230720 JATI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"230725 JIJOCA DE JERICOACOARA";-;-;-;-;7;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;12
"230730 JUAZEIRO DO NORTE";-;-;-;2;165;24;4;2;-;-;-;1;-;-;5;-;-;-;-;2;-;-;6;-;-;-;-;211
"230740 JUCAS";-;-;-;-;14;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"230750 LAVRAS DA MANGABEIRA";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"230760 LIMOEIRO DO NORTE";-;-;-;-;43;3;3;-;-;-;-;1;-;-;1;2;-;1;-;1;-;-;-;-;-;-;-;55
"230763 MADALENA";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"230765 MARACANAU";-;-;-;1;86;8;2;4;-;-;-;1;1;-;3;5;4;-;1;1;1;-;7;1;-;-;-;126
"230770 MARANGUAPE";-;-;-;3;30;6;3;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;45
"230780 MARCO";-;-;-;-;10;1;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;17
"230790 MARTINOPOLE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"230800 MASSAPE";-;-;-;-;16;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;21
"230810 MAURITI";-;-;-;1;29;6;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;40
"230820 MERUOCA";-;-;-;1;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"230830 MILAGRES";-;-;-;-;13;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"230835 MILHA";-;-;-;1;4;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"230837 MIRAIMA";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"230840 MISSAO VELHA";-;-;-;3;15;3;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;24
"230850 MOMBACA";-;-;-;1;28;3;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;1;-;-;-;-;37
"230860 MONSENHOR TABOSA";-;-;-;-;10;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;14
"230870 MORADA NOVA";-;-;-;1;16;2;2;1;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;25
"230880 MORAUJO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"230890 MORRINHOS";-;-;-;-;8;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;11
"230900 MUCAMBO";-;-;-;-;10;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;13
"230910 MULUNGU";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230920 NOVA OLINDA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230930 NOVA RUSSAS";-;-;-;-;19;4;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;25
"230940 NOVO ORIENTE";-;-;-;3;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;17
"230945 OCARA";-;-;-;6;13;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;21
"230950 OROS";-;-;-;-;12;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"230960 PACAJUS";-;-;-;1;24;-;2;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;-;-;31
"230970 PACATUBA";-;-;-;-;14;1;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;20
"230980 PACOTI";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"230990 PACUJA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;5
"231000 PALHANO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"231010 PALMACIA";-;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"231020 PARACURU";-;-;-;2;20;2;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;29
"231025 PARAIPABA";-;-;-;-;11;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;15
"231030 PARAMBU";-;-;-;-;14;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;18
"231040 PARAMOTI";-;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"231050 PEDRA BRANCA";-;-;-;-;26;2;3;-;-;-;-;1;-;-;-;2;1;-;-;1;-;-;2;-;-;-;-;38
"231060 PENAFORTE";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"231070 PENTECOSTE";-;-;-;-;7;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"231080 PEREIRO";-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;8
"231085 PINDORETAMA";-;-;-;1;10;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;16
"231090 PIQUET CARNEIRO";-;-;-;-;7;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"231095 PIRES FERREIRA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"231100 PORANGA";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;9
"231110 PORTEIRAS";-;-;-;2;8;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;13
"231120 POTENGI";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"231126 QUITERIANOPOLIS";-;-;-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"231130 QUIXADA";-;-;-;-;34;3;1;3;-;-;-;1;1;-;1;-;-;-;-;1;2;-;-;-;-;-;-;47
"231135 QUIXELO";-;-;-;2;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;18
"231140 QUIXERAMOBIM";-;-;-;1;27;7;2;-;-;-;-;-;1;-;4;1;1;1;1;1;-;-;1;-;-;-;-;48
"231150 QUIXERE";-;-;-;1;14;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;18
"231160 REDENCAO";-;-;-;-;13;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"231170 RERIUTABA";-;-;-;3;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;15
"231180 RUSSAS";-;-;-;2;27;4;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3;-;-;-;-;40
"231190 SABOEIRO";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;7
"231195 SALITRE";-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"231200 SANTANA DO ACARAU";-;-;-;-;15;-;2;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;21
"231210 SANTANA DO CARIRI";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"231220 SANTA QUITERIA";-;-;-;3;20;2;-;-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;1;1;-;-;-;31
