 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jan-Mar/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"221135 VARZEA BRANCA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221140 VARZEA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"221150 VERA MENDES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221160 VILA NOVA DO PIAUI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221170 WALL FERRAZ";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230010 ABAIARA";-;-;-;1;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"230015 ACARAPE";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;9
"230020 ACARAU";-;-;-;-;21;2;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;2;1;-;-;30
"230030 ACOPIARA";-;-;-;-;9;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"230040 AIUABA";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;6
"230050 ALCANTARAS";-;-;-;1;9;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;14
"230060 ALTANEIRA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"230070 ALTO SANTO";-;-;-;-;8;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;10
"230075 AMONTADA";-;-;-;-;15;1;1;1;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;22
"230080 ANTONINA DO NORTE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"230090 APUIARES";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"230100 AQUIRAZ";-;-;-;-;42;4;1;2;-;-;-;-;-;-;2;2;-;-;-;-;-;-;2;-;-;-;55
"230110 ARACATI";-;-;-;-;25;2;1;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;32
"230120 ARACOIABA";-;-;-;-;20;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;24
"230125 ARARENDA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"230130 ARARIPE";-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;7
"230140 ARATUBA";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230150 ARNEIROZ";-;-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230160 ASSARE";-;-;-;-;7;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"230170 AURORA";-;-;-;-;12;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;15
"230180 BAIXIO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230185 BANABUIU";-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"230190 BARBALHA";-;-;-;-;48;12;4;2;-;-;-;1;-;-;1;2;1;-;-;-;-;-;-;-;-;-;71
"230195 BARREIRA";-;-;-;-;12;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;15
"230200 BARRO";-;-;-;2;8;3;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;17
"230205 BARROQUINHA";-;-;-;1;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;10
"230210 BATURITE";-;-;-;-;11;2;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;18
"230220 BEBERIBE";-;-;-;-;25;3;2;-;-;-;-;1;1;-;1;-;-;-;-;1;1;-;2;-;1;-;38
"230230 BELA CRUZ";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;1;-;-;-;13
"230240 BOA VIAGEM";-;-;-;-;16;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;19
"230250 BREJO SANTO";-;-;-;5;22;2;1;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;34
"230260 CAMOCIM";-;-;-;1;19;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;3;-;-;-;27
"230270 CAMPOS SALES";-;-;-;-;16;5;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;25
"230280 CANINDE";-;-;-;-;62;5;4;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;75
"230290 CAPISTRANO";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"230300 CARIDADE";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"230310 CARIRE";-;-;-;-;10;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"230320 CARIRIACU";-;-;-;-;8;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"230330 CARIUS";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"230340 CARNAUBAL";-;-;-;1;8;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;12
"230350 CASCAVEL";-;-;-;-;39;5;2;1;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;-;-;-;51
"230360 CATARINA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"230365 CATUNDA";-;-;-;-;2;3;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;-;-;-;-;-;10
"230370 CAUCAIA";-;-;-;6;88;18;4;2;-;-;-;3;1;-;5;5;2;-;1;3;-;-;8;1;-;1;148
"230380 CEDRO";-;-;-;-;20;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"230390 CHAVAL";-;-;-;-;3;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;-;-;9
"230393 CHORO";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230395 CHOROZINHO";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"230400 COREAU";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"230410 CRATEUS";-;-;-;-;34;5;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;2;-;-;-;44
"230420 CRATO";-;-;-;-;81;7;8;-;-;-;-;-;3;-;2;2;-;-;-;1;-;-;5;-;-;-;109
"230423 CROATA";-;-;-;1;5;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"230425 CRUZ";-;-;-;-;13;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;18
"230426 DEPUTADO IRAPUAN PINHEIRO";-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230427 ERERE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230428 EUSEBIO";-;-;-;-;17;4;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;-;-;26
"230430 FARIAS BRITO";-;-;-;-;9;2;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15
"230435 FORQUILHA";-;-;-;-;8;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;12
"230440 FORTALEZA";-;-;-;20;899;120;38;40;-;-;-;25;13;-;29;37;18;3;-;16;6;1;50;4;1;4;1324
"230445 FORTIM";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230450 FRECHEIRINHA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"230460 GENERAL SAMPAIO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230465 GRACA";-;-;-;-;8;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;12
"230470 GRANJA";-;-;-;-;16;1;1;-;-;-;-;-;2;-;1;1;1;1;-;-;-;-;1;-;-;-;25
"230480 GRANJEIRO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230490 GROAIRAS";-;-;-;-;7;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"230495 GUAIUBA";-;-;-;-;8;-;-;1;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;12
"230500 GUARACIABA DO NORTE";-;-;-;1;18;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;22
"230510 GUARAMIRANGA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"230520 HIDROLANDIA";-;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"230523 HORIZONTE";-;-;-;-;19;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"230526 IBARETAMA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230530 IBIAPINA";-;-;-;-;10;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;15
"230533 IBICUITINGA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230535 ICAPUI";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230540 ICO";-;-;-;7;29;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;39
"230550 IGUATU";-;-;-;-;62;8;5;3;-;-;-;1;-;-;3;-;1;-;-;1;-;-;2;-;-;-;86
"230560 INDEPENDENCIA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"230565 IPAPORANGA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230570 IPAUMIRIM";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230580 IPU";-;-;-;1;10;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;17
"230590 IPUEIRAS";-;-;-;-;16;2;-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;-;-;-;26
"230600 IRACEMA";-;-;-;1;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"230610 IRAUCUBA";-;-;-;1;4;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"230620 ITAICABA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230625 ITAITINGA";-;-;-;-;16;3;2;-;-;-;-;2;-;-;3;-;1;-;-;-;-;-;1;-;-;-;28
"230630 ITAPAGE";-;-;-;-;19;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;2;-;-;-;25
"230640 ITAPIPOCA";-;-;-;-;64;2;-;-;-;-;-;1;-;-;-;1;2;2;-;1;-;-;5;1;-;-;79
"230650 ITAPIUNA";-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;-;-;7
"230655 ITAREMA";-;-;-;-;16;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"230660 ITATIRA";-;-;-;-;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"230670 JAGUARETAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;3
"230680 JAGUARIBARA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230690 JAGUARIBE";1;-;-;-;12;2;1;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;3;-;-;-;22
"230700 JAGUARUANA";-;-;-;4;20;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"230710 JARDIM";-;-;-;-;12;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"230720 JATI";-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;7
"230725 JIJOCA DE JERICOACOARA";-;-;-;-;4;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;10
"230730 JUAZEIRO DO NORTE";-;-;-;1;144;23;12;7;-;-;-;-;5;-;1;5;-;1;-;2;-;-;4;1;-;1;207
"230740 JUCAS";-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;17
"230750 LAVRAS DA MANGABEIRA";-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;16
"230760 LIMOEIRO DO NORTE";-;-;-;3;49;4;3;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;62
"230763 MADALENA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;5
"230765 MARACANAU";-;-;-;-;76;16;2;1;-;-;-;-;-;-;4;4;2;1;1;1;-;-;-;-;-;-;108
"230770 MARANGUAPE";-;-;-;2;23;3;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;1;-;-;34
"230780 MARCO";-;-;-;-;9;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"230790 MARTINOPOLE";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;8
"230800 MASSAPE";-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;4;-;-;-;21
"230810 MAURITI";-;-;-;2;14;2;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;21
"230820 MERUOCA";-;-;-;-;5;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"230830 MILAGRES";-;-;-;1;10;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;16
"230835 MILHA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;4
"230837 MIRAIMA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;11
"230840 MISSAO VELHA";-;-;-;-;20;3;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;26
"230850 MOMBACA";-;-;-;-;18;3;-;1;-;-;-;1;2;-;1;-;-;-;-;1;1;-;1;-;-;-;29
"230860 MONSENHOR TABOSA";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;9
"230870 MORADA NOVA";-;-;-;8;16;3;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;31
"230880 MORAUJO";-;-;-;-;5;1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;-;-;10
"230890 MORRINHOS";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;7
"230900 MUCAMBO";-;-;-;-;5;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"230910 MULUNGU";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230920 NOVA OLINDA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"230930 NOVA RUSSAS";-;-;-;1;11;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;17
"230940 NOVO ORIENTE";-;-;-;-;7;3;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;13
"230945 OCARA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"230950 OROS";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"230960 PACAJUS";-;-;-;-;21;4;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;31
"230970 PACATUBA";-;-;-;1;24;6;2;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;38
"230980 PACOTI";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"230990 PACUJA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"231000 PALHANO";-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"231010 PALMACIA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"231020 PARACURU";-;-;-;1;18;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;21
"231025 PARAIPABA";-;-;-;-;11;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;13
"231030 PARAMBU";-;-;-;2;5;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"231040 PARAMOTI";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"231050 PEDRA BRANCA";-;-;-;-;26;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"231060 PENAFORTE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"231070 PENTECOSTE";-;-;-;1;18;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;22
"231080 PEREIRO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"231085 PINDORETAMA";-;-;-;-;14;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;16
"231090 PIQUET CARNEIRO";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"231100 PORANGA";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"231110 PORTEIRAS";-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"231120 POTENGI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"231123 POTIRETAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"231126 QUITERIANOPOLIS";-;-;-;-;5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"231130 QUIXADA";-;-;-;-;28;1;2;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;34
"231135 QUIXELO";-;-;-;-;12;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;16
"231140 QUIXERAMOBIM";-;-;-;-;48;1;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;55
"231150 QUIXERE";-;-;-;1;9;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;13
"231160 REDENCAO";-;-;-;-;15;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;19
"231170 RERIUTABA";-;-;-;-;10;1;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;16
"231180 RUSSAS";-;-;-;8;38;4;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;1;55
"231190 SABOEIRO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"231195 SALITRE";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"231200 SANTANA DO ACARAU";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;17
"231210 SANTANA DO CARIRI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"231220 SANTA QUITERIA";-;-;-;1;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3;-;-;-;21
"231230 SAO BENEDITO";-;-;-;-;18;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;5;-;-;-;27
"231240 SAO GONCALO DO AMARANTE";-;-;-;-;21;3;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;28
"231250 SAO JOAO DO JAGUARIBE";-;-;-;-;8;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"231260 SAO LUIS DO CURU";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"231270 SENADOR POMPEU";-;-;-;-;16;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;18
"231280 SENADOR SA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"231290 SOBRAL";-;-;-;1;103;8;4;2;-;-;-;1;11;-;1;7;4;2;-;1;-;-;12;-;-;-;157
"231300 SOLONOPOLE";-;-;-;1;11;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"231310 TABULEIRO DO NORTE";-;-;-;-;17;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;22
"231320 TAMBORIL";-;-;-;-;7;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;11
"231325 TARRAFAS";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"231330 TAUA";-;-;-;8;36;4;2;9;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;61
"231335 TEJUCUOCA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"231340 TIANGUA";-;-;-;8;31;5;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;48
"231350 TRAIRI";-;-;-;-;19;1;-;1;-;-;-;1;1;-;-;-;-;1;-;1;-;-;2;-;-;-;27
"231355 TURURU";-;-;-;-;5;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"231360 UBAJARA";-;-;-;3;13;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"231370 UMARI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"231375 UMIRIM";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;11
"231380 URUBURETAMA";-;-;-;-;14;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"231390 URUOCA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"231395 VARJOTA";-;-;-;-;12;-;1;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;1;-;-;-;18
"231400 VARZEA ALEGRE";-;-;-;-;23;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;28
"231410 VICOSA DO CEARA";-;-;-;-;15;3;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;2;-;-;-;24
"240010 ACARI";-;-;-;-;5;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"240020 ACU";-;-;-;1;30;3;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;3;-;-;-;40
"240030 AFONSO BEZERRA";-;-;-;-;2;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"240040 AGUA NOVA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"240050 ALEXANDRIA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"240070 ALTO DO RODRIGUES";-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"240080 ANGICOS";-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"240090 ANTONIO MARTINS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"240100 APODI";-;-;-;-;17;5;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;25
"240110 AREIA BRANCA";-;-;-;-;25;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;33
"240120 ARES";-;-;-;-;3;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"240130 AUGUSTO SEVERO";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"240140 BAIA FORMOSA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
